agency,site_no,parameter_cd,ts_id,month,day,begin_yr,end_yr,cont_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,16275000,60,41087,1,1,1944,2019,71,1988,98,1946,0.43,4,0.81,1.1,1.3,1.4,1.8,2.4,2.7,5.2,9.6
USGS,16275000,60,41087,1,2,1944,2019,71,2004,34.1,1946,0.43,2.8,0.81,1.1,1.3,1.4,1.8,2.5,2.8,4,8
USGS,16275000,60,41087,1,3,1944,2019,71,1970,43,1946,0.43,3.5,0.88,1.1,1.3,1.4,1.8,2.4,2.6,3.6,18
USGS,16275000,60,41087,1,4,1944,2019,71,1969,15,1946,0.36,2.2,1,1.1,1.3,1.3,1.7,2.2,2.3,3.7,5.9
USGS,16275000,60,41087,1,5,1944,2019,71,1969,8.1,1946,0.32,2,1,1.1,1.3,1.3,1.7,2.2,2.4,3.3,4.5
USGS,16275000,60,41087,1,6,1944,2019,71,1969,5,1946,0.39,1.9,1.1,1.1,1.3,1.3,1.7,2.2,2.4,3.1,3.4
USGS,16275000,60,41087,1,7,1944,2019,71,1950,26,1946,0.39,2.6,1.1,1.1,1.3,1.4,1.8,2.3,2.3,3.1,7.9
USGS,16275000,60,41087,1,8,1944,2019,71,1949,9.8,1946,0.39,2.1,1.1,1.1,1.4,1.4,1.8,2.2,2.4,3.1,3.7
USGS,16275000,60,41087,1,9,1944,2019,71,1950,6.2,1946,0.39,2,1.1,1.1,1.3,1.4,1.8,2.2,2.4,3.1,3.9
USGS,16275000,60,41087,1,10,1944,2019,71,1988,6.1,1946,0.39,2,1,1.1,1.3,1.4,1.8,2.1,2.1,3,5.4
USGS,16275000,60,41087,1,11,1944,2019,71,1975,18,1946,0.39,2.4,1,1.1,1.3,1.4,1.7,2.1,2.3,3.2,10
USGS,16275000,60,41087,1,12,1944,2019,71,1975,28,1946,0.43,2.8,1,1.1,1.3,1.4,1.8,2.1,2.3,3.4,11
USGS,16275000,60,41087,1,13,1944,2019,71,2011,20.2,1946,0.39,2.3,0.99,1.1,1.2,1.3,1.7,2.2,2.5,2.9,7.1
USGS,16275000,60,41087,1,14,1944,2019,71,1975,7.3,1946,0.36,2.1,0.93,1.1,1.3,1.5,1.8,2.4,2.5,3.8,4.8
USGS,16275000,60,41087,1,15,1944,2019,71,1971,5.4,1946,0.36,1.9,1,1.1,1.3,1.4,1.8,2.2,2.4,3,3.5
USGS,16275000,60,41087,1,16,1944,2019,71,1949,150,1946,0.43,4.2,0.99,1.1,1.3,1.4,1.7,2.2,2.3,2.8,8.3
USGS,16275000,60,41087,1,17,1944,2019,71,1949,30,1946,0.54,2.4,0.99,1.1,1.3,1.4,1.7,2.1,2.2,3.3,5.1
USGS,16275000,60,41087,1,18,1944,2019,71,1959,19,1946,0.48,2.2,0.94,1.1,1.3,1.3,1.7,2.1,2.1,3.1,6.5
USGS,16275000,60,41087,1,19,1944,2019,71,1952,32,1946,0.39,2.8,0.86,1.1,1.3,1.4,1.6,2.1,2.4,4.7,11
USGS,16275000,60,41087,1,20,1944,2019,71,2000,13,1946,0.39,2.3,0.86,1.1,1.3,1.3,1.7,2.2,2.4,4.5,7
USGS,16275000,60,41087,1,21,1944,2019,71,1957,55,1946,0.39,2.8,0.86,1.1,1.3,1.4,1.7,2.1,2.3,3,3.9
USGS,16275000,60,41087,1,22,1944,2019,71,1972,39,1946,0.48,3,0.91,1.1,1.3,1.4,1.7,2.2,2.3,2.9,13
USGS,16275000,60,41087,1,23,1944,2019,71,1972,25,1946,0.43,2.6,0.91,1.1,1.3,1.4,1.7,2.1,2.3,2.7,8.5
