date,statistic,depth,temp_surface,salinity_surface,DO_perc_surface,DO_surface,pH_surface,temp_bottom,salinity_bottom,DO_perc_bottom,DO_bottom,pH_bottom,nitrate,nitrite,ammonia,phosphate,silica,turbidity
2014-05-27,Mean,49.6,25.28,22.65,93.38,6.77,7.95,26.28,28.14,89.98,6.28,8.05,0.81,0.0502,0.01,0.25,6.4,5.5
2014-05-27,Stdv,10.92,0.57,9.12,13.82,1.06,0.19,1.09,4.64,18.91,1.31,0.15,0.57,0.1127,0.01,0.49,4.8,6.9
2014-05-27,Min,39,24.29,9.28,69.2,4.79,7.67,24.71,19.5,63.3,4.38,7.86,0.33,0,0,0,1,0
2014-05-27,Max,68,25.64,32.36,110,7.71,8.19,27.98,32.17,114.3,7.73,8.2,1.86,0.28,0.03,1.25,13,19
2014-05-27,N,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
2014-06-05,Mean,58.5,26.03,23.2,119.44,8.06,8.3,26.56,25.59,120.66,8.6,8.45,0.77,0.0444,0.01,0.3,7,6.4
2014-06-05,Stdv,12.47,0.58,4.78,20.04,0.73,0.19,0.71,2.31,17.08,1.11,0.11,0.16,0.125,0.01,0.72,3.3,6.4
2014-06-05,Min,47,24.97,14.01,96.1,7.27,7.8,25.01,21.9,97.6,6.78,8.26,0.5,0,0,0,3,0
2014-06-05,Max,91,26.81,28.7,164.8,9.65,8.49,27.45,28.71,150.2,10.41,8.66,1.05,0.4,0.02,2.35,13,20
2014-06-05,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-06-19,Mean,65.22,25.88,27.54,109.61,7.52,8.39,26.39,29.75,114.53,7.82,8.43,1.07,0.0041,0.01,0.08,5.2,6.9
2014-06-19,Stdv,11.08,0.55,4.1,14.4,0.81,0.11,0.47,2.14,14.56,1.16,0.08,0.42,0.004,0.01,0.06,2.5,4.2
2014-06-19,Min,55,24.69,19.6,89.9,6.31,8.19,25.81,27.09,94.4,6.14,8.34,0.47,0,0,0,3,0
2014-06-19,Max,93,26.54,32.37,130.2,8.84,8.53,27.29,33.51,138.2,9.55,8.56,1.59,0.012,0.03,0.2,10,14
2014-06-19,N,9,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,9
2014-06-26,Mean,48.4,25.48,28.16,71.79,5.1,7.99,25.67,29.03,69.25,4.84,7.98,0.97,0.0038,0.03,0.27,5.3,7.4
2014-06-26,Stdv,10.8,0.39,2.03,16.34,1.11,0.08,0.33,1.31,16.86,1.21,0.09,0.79,0.0031,0.02,0.65,2.3,6.4
2014-06-26,Min,37,24.7,24.04,48.5,3.52,7.83,25.23,26.22,45.3,3.14,7.84,0.31,0,0,0,3,0
2014-06-26,Max,70,26.02,30.5,98.4,7.02,8.11,26.11,30.58,95.7,6.74,8.14,2.53,0.007,0.06,2.13,11,18
2014-06-26,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10
2014-07-02,Mean,57.3,26.5,25.43,93.59,6.53,8.17,26.94,27.17,89.67,6.1,8.2,0.78,0.0263,0.04,0.1,6.8,3.5
2014-07-02,Stdv,12.98,0.37,3.88,6.79,0.4,0.09,0.82,2.55,16.85,1.22,0.08,0.29,0.0716,0.03,0.1,3.3,2.5
2014-07-02,Min,45,25.89,18.36,82.8,5.77,8.01,25.76,23.37,45.8,2.83,8,0.04,0.001,0,0,3,0
2014-07-02,Max,91,27.13,29.59,102.1,7,8.29,28.9,30.5,105,7.08,8.29,1.13,0.23,0.08,0.34,13,8
2014-07-02,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-07,Mean,70.1,26.87,25.18,118.31,8.1,8.34,27.52,29.95,150.96,10.15,8.48,0.64,0.0028,0.02,0.1,4.2,1.4
2014-07-07,Stdv,9.68,0.43,3.66,20.63,1.2,0.13,0.6,3.53,32.67,2.07,0.11,0.41,0.0022,0.02,0.06,1.3,1
2014-07-07,Min,58,26.36,18.03,92.2,6.7,8.02,26.72,25.73,112.5,7.71,8.35,0.15,0,0,0.008,3,0
2014-07-07,Max,89,27.78,30.82,164.5,10.95,8.48,28.25,33.8,196.3,13.1,8.65,1.44,0.007,0.06,0.19,7,3
2014-07-07,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-09,Mean,72,26.66,26.65,111.1,7.71,8.24,26.75,28.3,116.21,7.93,8.32,1.05,0.0107,0.01,0.07,5.5,3.4
2014-07-09,Stdv,13.91,0.42,5.58,21.01,1.38,0.22,0.22,4.67,22.25,1.57,0.09,0.53,0.0179,0.01,0.05,3.3,3.9
2014-07-09,Min,48,25.9,18.35,80.2,6.18,7.67,26.48,23.73,86.8,5.98,8.18,0.35,0,0,0,1,0
2014-07-09,Max,96,27.3,34.78,151.1,10.58,8.45,27.2,34.81,148.8,10.5,8.47,2.17,0.06,0.03,0.14,12,13
2014-07-09,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-14,Mean,49.5,28.19,22.85,121.19,8.14,8.21,28.79,25.89,125.59,8.33,8.34,0.65,0.0038,0.02,0.06,7.8,8.6
2014-07-14,Stdv,14.34,0.85,7.99,28.58,1.48,0.33,0.44,4.65,35.93,2.34,0.28,0.29,0.0027,0.02,0.05,5.7,6.6
2014-07-14,Min,35,26.5,7.08,76.1,5.92,7.51,27.83,18.7,78,4.83,7.82,0.29,0,0,0,0,0
2014-07-14,Max,85,29.07,32.41,158.3,10.03,8.54,29.3,31.21,179.2,11.83,8.7,1.02,0.008,0.08,0.13,19,16
2014-07-14,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-16,Mean,56.3,27.48,24.3,96.2,6.6,8.14,28.22,28.23,94.89,6.36,8.24,0.69,0.0059,0,0.08,7.1,4.9
2014-07-16,Stdv,10.19,0.61,6.48,11.16,0.58,0.17,0.67,2.32,18.28,1.26,0.18,0.42,0.0047,0.01,0.03,3.8,6.3
2014-07-16,Min,43,26.4,11.41,78.9,5.61,7.75,27.48,24.84,48.9,3.25,7.83,0.21,0,0,0.02,2,0
2014-07-16,Max,76,28.31,31.7,115.1,7.5,8.35,29.6,31.79,113.1,7.81,8.58,1.64,0.015,0.02,0.11,13,18
2014-07-16,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-21,Mean,91.7,29,3.31,78.12,5.72,7.75,27.82,25.32,91.31,6.22,8.06,0,0.0036,0.18,0.15,9.4,28.9
2014-07-21,Stdv,10.76,0.6,2.09,7.47,0.48,0.14,0.27,1.27,14.69,0.97,0.23,0,0.0036,0.05,0.08,2.6,5.2
2014-07-21,Min,80,28.18,1.48,66.7,4.89,7.47,27.31,22.75,64.4,4.42,7.5,0,0,0.1,0,6,20
2014-07-21,Max,117,29.78,8.7,93.2,6.5,7.93,28.14,27.47,113.9,7.77,8.27,0,0.009,0.25,0.31,13,38
2014-07-21,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-07-23,Mean,46.38,24.97,4.83,85.69,6.9,7.68,25.94,11.93,78.55,6.08,7.64,0.1,0.0015,0.11,0.12,13.1,15
2014-07-23,Stdv,11.01,0.49,4.72,13.96,1.06,0.35,1.01,3.08,16.4,1.1,0.41,0.15,0.0019,0.06,0.07,5.3,6.9
2014-07-23,Min,35,24.2,0.29,59.4,5.02,7.01,24.85,7.32,48,4.25,6.9,0,0,0.02,0.01,4,5
2014-07-23,Max,69,25.66,13.52,103,8.6,8.11,27.99,16.8,100.5,7.58,8.09,0.4,0.005,0.23,0.2,19,24
2014-07-23,N,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
2014-07-29,Mean,57.71,28.45,20.02,117.76,8.38,8.33,29.29,24.09,135.24,9.03,8.45,0.6,0.0073,0.01,0.2,9,6.7
2014-07-29,Stdv,12.93,0.9,7.71,21.35,1.51,0.29,0.52,3.22,17.76,1.25,0.18,0.36,0.0052,0.01,0.16,5.2,5.9
2014-07-29,Min,47,27,6.72,92.9,7.07,7.78,28.54,20.41,113.9,7.5,8.15,0.16,0.001,0,0.05,3,0
2014-07-29,Max,84,29.17,29.42,151.4,10.5,8.67,30.01,29.55,162,10.71,8.67,1.23,0.016,0.03,0.48,18,15
2014-07-29,N,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2014-07-30,Mean,48.88,25.34,21.89,88.03,6.48,8.22,26.54,25.74,74.79,5.4,8.2,0.63,0.0045,0.01,0.13,6.5,3.5
2014-07-30,Stdv,8.68,1.11,4.84,9.06,0.98,0.11,0.67,1.54,16.45,0.83,0.11,0.37,0.0046,0.01,0.16,3.9,3.3
2014-07-30,Min,40,23.7,15.31,73.4,5.11,8.05,25.44,23.54,44,4.39,8.07,0.06,0,0,0,3,0
2014-07-30,Max,67,26.83,26.5,102.8,8.36,8.37,27.35,27.5,95.8,6.54,8.36,1.05,0.011,0.02,0.51,12,10
2014-07-30,N,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2014-08-06,Mean,44.4,25.62,21.18,91,6.53,8.11,25.9,23.21,84.16,5.99,8.11,0.7,0.0022,0.01,0.29,7.8,11.7
2014-08-06,Stdv,7.49,0.51,6.68,8.98,0.63,0.17,0.64,3.08,16.53,1.18,0.17,0.3,0.0026,0.01,0.4,4.8,13.7
2014-08-06,Min,35,24.86,4.97,77.9,5.91,7.69,25.04,19.55,46.4,3.28,7.71,0.04,0,0,0,1,0
2014-08-06,Max,60,26.44,29.6,106.5,7.7,8.31,27.3,29.66,108.9,7.63,8.36,1.08,0.008,0.04,1.39,14,48
2014-08-06,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-08-11,Mean,66.6,32.33,30.9,122.74,7.5,8.26,32.42,32.49,136.27,8.27,8.43,1.29,0.0043,0,0.01,3.6,10.8
2014-08-11,Stdv,12.95,1.69,3.67,25.13,1.45,0.14,1.64,1.61,17.8,1.05,0.26,0.27,0.0023,0,0.02,1.8,6.8
2014-08-11,Min,45,28.52,22.74,101.4,6.05,8.08,28.63,28.29,111.8,6.7,8.15,0.9,0,0,0,2,0
2014-08-11,Max,81,34.17,34.14,178.9,10.74,8.52,34.06,34.11,160.5,9.74,8.91,1.82,0.007,0,0.04,8,22
2014-08-11,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
2014-08-13,Mean,47.6,30.83,29.99,111.51,6.98,8.2,31.24,31.81,120.37,7.38,8.2,0.25,0.0057,0,0.14,5.9,13.5
2014-08-13,Stdv,6.28,0.78,4.92,24.57,1.34,0.14,0.47,1.72,26.13,1.53,0.21,0.43,0.0051,0.01,0.09,5.5,9.9
2014-08-13,Min,37,29.46,18,86.7,5.49,8.02,30.64,27.74,74.4,4.9,7.71,0,0,0,0.06,3,5
2014-08-13,Max,55,31.84,33.64,169,10.24,8.51,32.02,33.57,166.9,10.35,8.51,1.38,0.017,0.03,0.3,21,38
2014-08-13,N,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2014-08-19,Mean,85.3,27.73,27.51,110.09,7.45,8.27,28.01,32.04,114.31,8.49,8.4,0.33,0.003,0,0.09,6.5,8.6
2014-08-19,Stdv,8.46,0.34,4.84,11.21,0.64,0.16,0.29,1.77,37.15,1.32,0.12,0.4,0.0035,0,0.19,3.7,7.7
2014-08-19,Min,77,27.16,19.78,93.8,6.41,7.91,27.45,29.29,17.55,6.77,8.2,0,0,0,0,3,0
