JD,irradiance
1,144
2,144
3,144
4,144
5,144
6,144
7,144
8,144
9,144
10,144
11,144
12,144
13,144
14,144
15,144
16,144
17,144
18,144
19,144
20,144
21,144
22,144
23,144
24,144
25,144
26,144
27,144
28,144
29,144
30,144
31,144
32,165
33,165
34,165
35,165
36,165
37,165
38,165
39,165
40,165
41,165
42,165
43,165
44,165
45,165
46,165
47,165
48,165
49,165
50,165
51,165
52,165
53,165
54,165
55,165
56,165
57,165
58,165
59,165
60,181
61,181
62,181
63,181
64,181
65,181
66,181
67,181
68,181
69,181
70,181
71,181
72,181
73,181
74,181
75,181
76,181
77,181
78,181
79,181
80,181
81,181
82,181
83,181
84,181
85,181
86,181
87,181
88,181
89,181
90,181
91,204
92,204
93,204
94,204
95,204
96,204
97,204
98,204
99,204
100,204
101,204
102,204
103,204
104,204
105,204
106,204
107,204
108,204
109,204
110,204
111,204
112,204
113,204
114,204
115,204
116,204
117,204
118,204
119,204
120,204
121,213
122,213
123,213
124,213
125,213
126,213
127,213
128,213
129,213
130,213
131,213
132,213
133,213
134,213
135,213
136,213
137,213
138,213
139,213
140,213
141,213
142,213
143,213
144,213
145,213
146,213
147,213
148,213
149,213
150,213
151,213
152,220
153,220
154,220
155,220
156,220
157,220
158,220
159,220
160,220
161,220
162,220
163,220
164,220
165,220
166,220
167,220
168,220
169,220
170,220
171,220
172,220
173,220
174,220
175,220
176,220
177,220
178,220
179,220
180,220
181,220
182,217
183,217
184,217
185,217
186,217
187,217
188,217
189,217
190,217
191,217
192,217
193,217
194,217
195,217
196,217
197,217
198,217
199,217
200,217
201,217
202,217
203,217
204,217
205,217
206,217
207,217
208,217
209,217
210,217
211,217
212,217
213,212
214,212
215,212
216,212
217,212
218,212
219,212
220,212
221,212
222,212
223,212
224,212
225,212
226,212
227,212
228,212
229,212
230,212
231,212
232,212
233,212
234,212
235,212
236,212
237,212
238,212
239,212
240,212
241,212
242,212
243,212
244,221
245,221
246,221
247,221
248,221
249,221
250,221
251,221
252,221
253,221
254,221
255,221
256,221
257,221
258,221
259,221
260,221
261,221
262,221
263,221
264,221
265,221
266,221
267,221
268,221
269,221
270,221
271,221
272,221
273,221
274,174
275,174
276,174
277,174
278,174
279,174
280,174
281,174
282,174
283,174
284,174
285,174
286,174
287,174
288,174
289,174
290,174
291,174
292,174
293,174
294,174
295,174
296,174
297,174
298,174
299,174
300,174
301,174
302,174
303,174
304,174
305,145
306,145
307,145
308,145
309,145
310,145
311,145
312,145
313,145
314,145
315,145
316,145
317,145
318,145
319,145
320,145
321,145
322,145
323,145
324,145
325,145
326,145
327,145
328,145
329,145
330,145
331,145
332,145
333,145
334,145
335,135
336,135
337,135
338,135
339,135
340,135
341,135
342,135
343,135
344,135
345,135
346,135
347,135
348,135
349,135
350,135
351,135
352,135
353,135
354,135
355,135
356,135
357,135
358,135
359,135
360,135
361,135
362,135
363,135
364,135
365,135
